id,title,author,year,form,era,current_cover_kind,current_cover_reference,current_cover_asset,current_dimensions,cover_color,cover_accent,audit_status,artwork_filename,final_cover_filename,rights_status,rights_basis,provenance_provider,prompt_template_version,review_status
"oedipus-at-colonus","Oedipus at Colonus","Sophocles","-406","drama","antiquity","css-template-placeholder","BookStore.tsx::BookCover and BookOnboarding/BookOnboardingPreface CSS covers; registry coverColor/coverAccent","","CSS 2:3; 108x162 mobile, 126x189 default, 58x86 tiny, up to 276x414 large","#1e2a3a","#a08456","replace-after-review","oedipus-at-colonus--artwork-v1.png","oedipus-at-colonus--cover-v1.webp","review-required","public-domain text does not imply artwork rights; use newly generated original artwork","OpenAI built-in image generation","tinct-cover-v1","not-generated"
"antigone","Antigone","Sophocles","-441","drama","antiquity","css-template-placeholder","BookStore.tsx::BookCover and BookOnboarding/BookOnboardingPreface CSS covers; registry coverColor/coverAccent","","CSS 2:3; 108x162 mobile, 126x189 default, 58x86 tiny, up to 276x414 large","#3a1a1a","#c9a068","replace-after-review","antigone--artwork-v1.png","antigone--cover-v1.webp","review-required","public-domain text does not imply artwork rights; use newly generated original artwork","OpenAI built-in image generation","tinct-cover-v1","not-generated"
"genealogy-of-morals","On the Genealogy of Morals","Friedrich Nietzsche","1887","philosophy","modern","css-template-placeholder","BookStore.tsx::BookCover and BookOnboarding/BookOnboardingPreface CSS covers; registry coverColor/coverAccent","","CSS 2:3; 108x162 mobile, 126x189 default, 58x86 tiny, up to 276x414 large","#1a1a1a","#9a4a4a","replace-after-review","genealogy-of-morals--artwork-v1.png","genealogy-of-morals--cover-v1.webp","review-required","public-domain text does not imply artwork rights; use newly generated original artwork","OpenAI built-in image generation","tinct-cover-v1","not-generated"
"descartes-meditations","Meditations on First Philosophy","René Descartes","1641","philosophy","early-modern","css-template-placeholder","BookStore.tsx::BookCover and BookOnboarding/BookOnboardingPreface CSS covers; registry coverColor/coverAccent","","CSS 2:3; 108x162 mobile, 126x189 default, 58x86 tiny, up to 276x414 large","#0e2030","#c4a85f","replace-after-review","descartes-meditations--artwork-v1.png","descartes-meditations--cover-v1.webp","review-required","public-domain text does not imply artwork rights; use newly generated original artwork","OpenAI built-in image generation","tinct-cover-v1","not-generated"
"on-liberty","On Liberty","John Stuart Mill","1859","political","modern","css-template-placeholder","BookStore.tsx::BookCover and BookOnboarding/BookOnboardingPreface CSS covers; registry coverColor/coverAccent","","CSS 2:3; 108x162 mobile, 126x189 default, 58x86 tiny, up to 276x414 large","#2a2a3a","#c0c4d0","replace-after-review","on-liberty--artwork-v1.png","on-liberty--cover-v1.webp","review-required","public-domain text does not imply artwork rights; use newly generated original artwork","OpenAI built-in image generation","tinct-cover-v1","not-generated"
"utilitarianism","Utilitarianism","John Stuart Mill","1861","philosophy","modern","css-template-placeholder","BookStore.tsx::BookCover and BookOnboarding/BookOnboardingPreface CSS covers; registry coverColor/coverAccent","","CSS 2:3; 108x162 mobile, 126x189 default, 58x86 tiny, up to 276x414 large","#3a2a1f","#d4b078","replace-after-review","utilitarianism--artwork-v1.png","utilitarianism--cover-v1.webp","review-required","public-domain text does not imply artwork rights; use newly generated original artwork","OpenAI built-in image generation","tinct-cover-v1","not-generated"
"peloponnesian-war","History of the Peloponnesian War","Thucydides","-400","history","antiquity","css-template-placeholder","BookStore.tsx::BookCover and BookOnboarding/BookOnboardingPreface CSS covers; registry coverColor/coverAccent","","CSS 2:3; 108x162 mobile, 126x189 default, 58x86 tiny, up to 276x414 large","#1a2a3a","#9a6a4a","replace-after-review","peloponnesian-war--artwork-v1.png","peloponnesian-war--cover-v1.webp","review-required","public-domain text does not imply artwork rights; use newly generated original artwork","OpenAI built-in image generation","tinct-cover-v1","not-generated"
"aristotle-politics","Politics","Aristotle","-335","philosophy","antiquity","css-template-placeholder","BookStore.tsx::BookCover and BookOnboarding/BookOnboardingPreface CSS covers; registry coverColor/coverAccent","","CSS 2:3; 108x162 mobile, 126x189 default, 58x86 tiny, up to 276x414 large","#2a1a2a","#8a6a9a","replace-after-review","aristotle-politics--artwork-v1.png","aristotle-politics--cover-v1.webp","review-required","public-domain text does not imply artwork rights; use newly generated original artwork","OpenAI built-in image generation","tinct-cover-v1","not-generated"
"leviathan","Leviathan","Thomas Hobbes","1651","political","early-modern","css-template-placeholder","BookStore.tsx::BookCover and BookOnboarding/BookOnboardingPreface CSS covers; registry coverColor/coverAccent","","CSS 2:3; 108x162 mobile, 126x189 default, 58x86 tiny, up to 276x414 large","#1c1c2e","#8a9bb5","replace-after-review","leviathan--artwork-v1.png","leviathan--cover-v1.webp","review-required","public-domain text does not imply artwork rights; use newly generated original artwork","OpenAI built-in image generation","tinct-cover-v1","not-generated"
"fear-and-trembling","Fear and Trembling","Søren Kierkegaard","1843","philosophy","modern","css-template-placeholder","BookStore.tsx::BookCover and BookOnboarding/BookOnboardingPreface CSS covers; registry coverColor/coverAccent","","CSS 2:3; 108x162 mobile, 126x189 default, 58x86 tiny, up to 276x414 large","#1a1a24","#a08a4a","replace-after-review","fear-and-trembling--artwork-v1.png","fear-and-trembling--cover-v1.webp","review-required","public-domain text does not imply artwork rights; use newly generated original artwork","OpenAI built-in image generation","tinct-cover-v1","not-generated"
"communist-manifesto","The Communist Manifesto","Karl Marx & Friedrich Engels","1848","political","modern","css-template-placeholder","BookStore.tsx::BookCover and BookOnboarding/BookOnboardingPreface CSS covers; registry coverColor/coverAccent","","CSS 2:3; 108x162 mobile, 126x189 default, 58x86 tiny, up to 276x414 large","#3a0a0a","#c93a3a","replace-after-review","communist-manifesto--artwork-v1.png","communist-manifesto--cover-v1.webp","review-required","public-domain text does not imply artwork rights; use newly generated original artwork","OpenAI built-in image generation","tinct-cover-v1","not-generated"
