# Passage coverage: every paragraph of the Jowett dialogue in PG #1600 (TXT form; the HTML is identical except that it prints -- as an em-dash).
# source_index 0 = "Concerning the things..."; PERSONS OF THE DIALOGUE and SCENE lines are dialogue front matter, not reading text (see COVERAGE.md).
# Section labels are descriptive navigation aids for this record, not Plato's divisions and not the reader's chapter titles.
source_index	section	sha256_txt	sha256_html	words	baseline_coordinates	candidate_coordinates	status	opening
27	Aristodemus's narrative: Socrates, the arrival at Agathon's, supper, the proposal to praise Love	8111ccfaf3caa2bffc28e5d4fef2bb96f17f4c6077ceb5dbeaa52aa5ecd6225f	8111ccfaf3caa2bffc28e5d4fef2bb96f17f4c6077ceb5dbeaa52aa5ecd6225f	13	1.18	1.27	present verbatim	You were quite right in coming, said Agathon; but where is he himself?
28	Aristodemus's narrative: Socrates, the arrival at Agathon's, supper, the proposal to praise Love	fc06f8d83aede60ed3f00260434236d875b18b24719f47f4cab5752610884fa0	fc06f8d83aede60ed3f00260434236d875b18b24719f47f4cab5752610884fa0	20	1.19	1.28	present verbatim	He was behind me just now, as I entered, he said, and I cannot think w
29	Aristodemus's narrative: Socrates, the arrival at Agathon's, supper, the proposal to praise Love	81c8385119a2c5194e31263467b1f6e291d87ce34a86c3149412b6892160a5f4	81c8385119a2c5194e31263467b1f6e291d87ce34a86c3149412b6892160a5f4	22	1.20	1.29	present verbatim	Go and look for him, boy, said Agathon, and bring him in; and do you, 
30	Aristodemus's narrative: Socrates, the arrival at Agathon's, supper, the proposal to praise Love	91086d92996e7b301dd38b99fcf7d46ec4084003afd8e7b9ab59a4a72d83a73a	91086d92996e7b301dd38b99fcf7d46ec4084003afd8e7b9ab59a4a72d83a73a	48	1.21	1.30	present verbatim	The servant then assisted him to wash, and he lay down, and presently 
31	Aristodemus's narrative: Socrates, the arrival at Agathon's, supper, the proposal to praise Love	3971b74cd29e27b2c703a2ca29cd7e5c1f046f623f3a90ff3c7b31701ed6391d	3971b74cd29e27b2c703a2ca29cd7e5c1f046f623f3a90ff3c7b31701ed6391d	14	1.22	1.31	present verbatim	How strange, said Agathon; then you must call him again, and keep call
32	Aristodemus's narrative: Socrates, the arrival at Agathon's, supper, the proposal to praise Love	61771ed5f000ca999426c118e1df6769cbd5ed3760fa539ef5a35712f1511d5e	61771ed5f000ca999426c118e1df6769cbd5ed3760fa539ef5a35712f1511d5e	31	1.23	1.32	present verbatim	Let him alone, said my informant; he has a way of stopping anywhere an
33	Aristodemus's narrative: Socrates, the arrival at Agathon's, supper, the proposal to praise Love	abffc65c023640e4fe97568c81d803727828150799f2be453cd71f3927363094	8716a20acca223a0656bcc10b41c64818f28c21425adc9d2d3fb01e78750c34f	191	1.24	1.33	present verbatim	Well, if you think so, I will leave him, said Agathon. And then, turni
34	Aristodemus's narrative: Socrates, the arrival at Agathon's, supper, the proposal to praise Love	c9772e4cbb276e0079209fb0781d059acb8c2e9bc771108f2e3d3d5239fd57a8	c9772e4cbb276e0079209fb0781d059acb8c2e9bc771108f2e3d3d5239fd57a8	119	1.25	1.34	present verbatim	How I wish, said Socrates, taking his place as he was desired, that wi
35	Aristodemus's narrative: Socrates, the arrival at Agathon's, supper, the proposal to praise Love	f859f3ff7dd8a01f5f1f8a79f2949c2d24eb43db370b97eac2b3645f156b46ea	e5e3053f89c9593e66b7cf121e480b33c75893b48c35e75ddf4cbd2d0e63f28e	38	1.26	1.35	present verbatim	You are mocking, Socrates, said Agathon, and ere long you and I will h
36	Aristodemus's narrative: Socrates, the arrival at Agathon's, supper, the proposal to praise Love	6ab053ad46e6583be1698a356bc3bc22f431418050bf79939cdc57842fd664b1	6ab053ad46e6583be1698a356bc3bc22f431418050bf79939cdc57842fd664b1	103	1.27	1.36	present verbatim	Socrates took his place on the couch, and supped with the rest; and th
37	Aristodemus's narrative: Socrates, the arrival at Agathon's, supper, the proposal to praise Love	d0284e02b7e3170ef0474398e779e46890c8fcffebd1241ebbab80797540b57c	d0284e02b7e3170ef0474398e779e46890c8fcffebd1241ebbab80797540b57c	27	1.28	1.37	present verbatim	I entirely agree, said Aristophanes, that we should, by all means, avo
38	Aristodemus's narrative: Socrates, the arrival at Agathon's, supper, the proposal to praise Love	3d76230681faacd2dd55b65c6e14d6fffa6f64a8cbf49f2b561cb18e469c2caf	3d76230681faacd2dd55b65c6e14d6fffa6f64a8cbf49f2b561cb18e469c2caf	29	1.29	1.38	present verbatim	I think that you are right, said Eryximachus, the son of Acumenus; but
39	Aristodemus's narrative: Socrates, the arrival at Agathon's, supper, the proposal to praise Love	fe015d32d35145fe447051a7b5b4e8fc6471d77df3c4a0fc16def90342ef7f70	fe015d32d35145fe447051a7b5b4e8fc6471d77df3c4a0fc16def90342ef7f70	8	1.30	1.39	present verbatim	I am not equal to it, said Agathon.
40	Aristodemus's narrative: Socrates, the arrival at Agathon's, supper, the proposal to praise Love	f8cf08cda86087c7812a537880032cd83d2cb496b7000c40befe52152dffdb66	f8cf08cda86087c7812a537880032cd83d2cb496b7000c40befe52152dffdb66	108	1.31	1.40	present verbatim	Then, said Eryximachus, the weak heads like myself, Aristodemus, Phaed
41	Aristodemus's narrative: Socrates, the arrival at Agathon's, supper, the proposal to praise Love	a2caaf8ec85292a2f182482d9c13dd9b1e58762e4820049f0d941a82270932ef	a2caaf8ec85292a2f182482d9c13dd9b1e58762e4820049f0d941a82270932ef	32	1.32	1.41	present verbatim	I always do what you advise, and especially what you prescribe as a ph
42	Aristodemus's narrative: Socrates, the arrival at Agathon's, supper, the proposal to praise Love	b2007aefaffd90a689a4167809652010faff1a93e43fddb02b4ab5fb354d212d	b2007aefaffd90a689a4167809652010faff1a93e43fddb02b4ab5fb354d212d	27	1.33	1.42	present verbatim	It was agreed that drinking was not to be the order of the day, but th
43	Aristodemus's narrative: Socrates, the arrival at Agathon's, supper, the proposal to praise Love	4876b22310cf7c09ee3e974fabf09665ba1efaa93551b8d9040f0e51e6c142c1	de1179538948fc74a788babe6aed7b79f802dacd1f74f668661b2b6878df0752	87	1.34	1.43	present verbatim	Then, said Eryximachus, as you are all agreed that drinking is to be v
44	Aristodemus's narrative: Socrates, the arrival at Agathon's, supper, the proposal to praise Love	9d16b9b2c2bad041c16e5cffd1a5dd026730ecb61897b2c3ab6b1a3b09717792	9d16b9b2c2bad041c16e5cffd1a5dd026730ecb61897b2c3ab6b1a3b09717792	12	1.35	1.44	present verbatim	I will begin, he said, after the manner of Melanippe in Euripides,
45	Aristodemus's narrative: Socrates, the arrival at Agathon's, supper, the proposal to praise Love	83d63f523043386ea031be5782efeaf1ae83049ddb869d312278c4acbda0da07	83d63f523043386ea031be5782efeaf1ae83049ddb869d312278c4acbda0da07	4	1.36	1.45	present verbatim	'Not mine the word'
46	Aristodemus's narrative: Socrates, the arrival at Agathon's, supper, the proposal to praise Love	a72c53f9c8159fff5572feb6a2b49afa69ae6635b8d3eff9e423d452d01ac102	0fdd3cdc5ef659dbc82fbb2ce805c095e01804046ecb943dd25e1712cd93d64e	266	1.37	1.46	present verbatim	which I am about to speak, but that of Phaedrus. For often he says to 
47	Aristodemus's narrative: Socrates, the arrival at Agathon's, supper, the proposal to praise Love	fd2c80175f1a192d4c267163a6f44eae0c0add9d1e1b2606563b5146b981bde6	fd2c80175f1a192d4c267163a6f44eae0c0add9d1e1b2606563b5146b981bde6	114	1.38	1.47	present verbatim	No one will vote against you, Eryximachus, said Socrates. How can I op
48	Aristodemus's narrative: Socrates, the arrival at Agathon's, supper, the proposal to praise Love	7d7ceb1092cf3e356dedbe7b86b6f88b45f3c3b0a4795b84e02f7ddb90698aee	7d7ceb1092cf3e356dedbe7b86b6f88b45f3c3b0a4795b84e02f7ddb90698aee	36	1.39	1.48	present verbatim	Aristodemus did not recollect all that was said, nor do I recollect al
49	Phaedrus's speech	ed889591b2d0b2ee632dc8eae15caaa8b1adc4b965e0649bf9643e0373721b40	1ef556641a3a55929bc93cc5fc805fdd48d7713f9b0385fac83f2308e5fbabfa	68	2.0	2.0	present verbatim	Phaedrus began by affirming that Love is a mighty god, and wonderful a
50	Phaedrus's speech	ea28457c6fedb0c676f18cb2b7dc92e1c043518800f617f70f44f6a733b59278	ea28457c6fedb0c676f18cb2b7dc92e1c043518800f617f70f44f6a733b59278	16	2.1	2.1	present verbatim	'First Chaos came, and then broad-bosomed Earth, The everlasting seat 
51	Phaedrus's speech	d2b5e08929323fbadaf06f16dcafe640769ee8328ebd82cd670d49992dd85a97	d2b5e08929323fbadaf06f16dcafe640769ee8328ebd82cd670d49992dd85a97	19	2.2	2.2	present verbatim	In other words, after Chaos, the Earth and Love, these two, came into 
52	Phaedrus's speech	5aa574c6a7b9713b95f583c390fa03c7fbceda101af37cc89ea68cd6c642c0db	5aa574c6a7b9713b95f583c390fa03c7fbceda101af37cc89ea68cd6c642c0db	9	2.3	2.3	present verbatim	'First in the train of gods, he fashioned Love.'
53	Phaedrus's speech	0aa402c00a695bf66b78d82dd4ff66c9224504d5da55f8ff8d56d732f6859a76	987c9b524b24e104815fe8ec8e712d8a6d339f716f7d5cb7c55d95acbb7893f2	358	2.4,2.5	2.4,2.5	present verbatim, split into 2 reader paragraphs at sentence ends (baseline structure kept)	And Acusilaus agrees with Hesiod. Thus numerous are the witnesses who 
54	Phaedrus's speech	e860fb09f7299940508fcb88c3c0b148d5fb9c270e46f4fb4c42ffb2945d443b	88afb1f1050cef15787d92da3d8f226574ebd97bc18b5f4465ca562772233405	448	2.6,2.7	2.6,2.7	present verbatim, split into 2 reader paragraphs at sentence ends (baseline structure kept)	Love will make men dare to die for their beloved--love alone; and wome
55	Transition; Pausanias's speech	df7ecbda3e7adcff6e0efbea517d28889d6482454ca05f5b4cfa2aa4230752a9	83d8a714a5badbd14647f1bac7cea80767faa0afa29f4166cdced5f41f4470a9	1753	3.0,3.1,3.2,3.3,3.4,3.5,3.6,3.7	3.0,3.1,3.2,3.3,3.4,3.5,3.6,3.7	present verbatim, split into 8 reader paragraphs at sentence ends (baseline structure kept)	This, or something like this, was the speech of Phaedrus; and some oth
56	Transition; Pausanias's speech	5c7852ede4a64435029d12af6a87db96c4157a403b8b14582c0047591d9670b4	1ccc47fe6ea1500905beda4282337418758b2f8bd99f6211a04e56f33e40148b	468	3.8,3.9	3.8,3.9	present verbatim, split into 2 reader paragraphs at sentence ends (baseline structure kept)	For we have a custom, and according to our custom any one who does ser
57	Pausanias ends; Aristophanes's hiccough; Eryximachus takes his turn	11de1f288e7583ed089459e764a41d3a804c629a5332fcfadaac855e08bf7fc9	dcb1d89c7964d611ff7dcdd361d8ba1e456256ea851b8d363307da88ab46274a	85	3.10	3.10	present verbatim	Pausanias came to a pause--this is the balanced way in which I have be
58	Pausanias ends; Aristophanes's hiccough; Eryximachus takes his turn	dede779a36052b3117607778e499c33613a9bcfd154a1c4c04cdafadbcb08930	dede779a36052b3117607778e499c33613a9bcfd154a1c4c04cdafadbcb08930	92	3.11	3.11	present verbatim	I will do both, said Eryximachus: I will speak in your turn, and do yo
59	Eryximachus's speech and exchange with Aristophanes	78c8f196f2e6ef3110a231f34f0cf356518cc583a07f36174829402339635c14	f35f0b4f6ca913574e86c4307b10731c5495bb16a2600d322531abaea23a5861	812	4.0,4.1,4.2,4.3	4.0,4.1,4.2,4.3	present verbatim, split into 4 reader paragraphs at sentence ends (baseline structure kept)	Eryximachus spoke as follows: Seeing that Pausanias made a fair beginn
60	Eryximachus's speech and exchange with Aristophanes	bb0e70f8559521db7ad8b2ed6d5317d0e070171319dd6a48f3f0fc81bfe9d41e	4d790246408cfc174f61db9b3a299089fb4843ac6fdbf0a94637a3ad0c37de63	366	4.4,4.5	4.4,4.5	present verbatim, split into 2 reader paragraphs at sentence ends (baseline structure kept)	The course of the seasons is also full of both these principles; and w
61	Eryximachus's speech and exchange with Aristophanes	6d78e223655e903e21e334406295f4f6b50c533d8393ea0deb038389f2161ce2	6d78e223655e903e21e334406295f4f6b50c533d8393ea0deb038389f2161ce2	44	4.6	4.6	present verbatim	Yes, said Aristophanes, who followed, the hiccough is gone; not, howev
62	Eryximachus's speech and exchange with Aristophanes	027757cf4f70f262525b947114e1e81dbfd678ae7a69b15ddf9a78d056704851	027757cf4f70f262525b947114e1e81dbfd678ae7a69b15ddf9a78d056704851	40	4.7	4.7	present verbatim	Eryximachus said: Beware, friend Aristophanes, although you are going 
63	Eryximachus's speech and exchange with Aristophanes	9c84d8c05775a0438277f6d2df3372c0d91884c0a0bc0ec383f4f05ac9f8cab2	9c84d8c05775a0438277f6d2df3372c0d91884c0a0bc0ec383f4f05ac9f8cab2	61	4.8	4.8	present verbatim	You are right, said Aristophanes, laughing. I will unsay my words; but
64	Eryximachus's speech and exchange with Aristophanes	26e72c4bcd4efd3884bf53cfd2062e7e151b1e7b7bc7839ca28b568590e42d48	26e72c4bcd4efd3884bf53cfd2062e7e151b1e7b7bc7839ca28b568590e42d48	36	4.9	4.9	present verbatim	Do you expect to shoot your bolt and escape, Aristophanes? Well, perha
65	Aristophanes's speech	ff2793b320740e68ff6cfd7c1113a8d6f716cc3f7efa4dce94ae53416bf6c085	73e0c70a171f5e8476319413c57cbc7f69594b912824450f720fdd71ff585760	1959	5.0,5.1,5.2,5.3,5.4,5.5,5.6,5.7	5.0,5.1,5.2,5.3,5.4,5.5,5.6,5.7	present verbatim, split into 8 reader paragraphs at sentence ends (baseline structure kept)	Aristophanes professed to open another vein of discourse; he had a min
66	Interlude: Eryximachus, Socrates, Agathon, Phaedrus	16a8cdafc8084f8be24331d74a112bf326c2d7a3aca62954e5a1ba06d90b770e	16a8cdafc8084f8be24331d74a112bf326c2d7a3aca62954e5a1ba06d90b770e	63	5.8	5.8	present verbatim	Indeed, I am not going to attack you, said Eryximachus, for I thought 
67	Interlude: Eryximachus, Socrates, Agathon, Phaedrus	600e041f964f64aab1b3265013d57ccb2e9d864e9f3b9d944707592897e311eb	600e041f964f64aab1b3265013d57ccb2e9d864e9f3b9d944707592897e311eb	34	5.9	5.9	present verbatim	Socrates said: You played your part well, Eryximachus; but if you were
68	Interlude: Eryximachus, Socrates, Agathon, Phaedrus	fc5dfb888b71f3928143f431c68852621166d2c986c905dd68fddd7983a9e715	fc5dfb888b71f3928143f431c68852621166d2c986c905dd68fddd7983a9e715	31	5.10	5.10	present verbatim	You want to cast a spell over me, Socrates, said Agathon, in the hope 
69	Interlude: Eryximachus, Socrates, Agathon, Phaedrus	2dae1112d9a9e08775e9daf229162905653d7eea1b1a0f17ea829a58d094700d	2dae1112d9a9e08775e9daf229162905653d7eea1b1a0f17ea829a58d094700d	56	5.11	5.11	present verbatim	I should be strangely forgetful, Agathon replied Socrates, of the cour
70	Interlude: Eryximachus, Socrates, Agathon, Phaedrus	eb4e78a5b5682e61603c37d57e2462e25680edb0fe2c968aefbe268940361727	eb4e78a5b5682e61603c37d57e2462e25680edb0fe2c968aefbe268940361727	36	5.12	5.12	present verbatim	Do you think, Socrates, said Agathon, that my head is so full of the t
71	Interlude: Eryximachus, Socrates, Agathon, Phaedrus	4b5ee1a0a87bd4759615b03ce8c264d43cdb22db33348f6ef491fe7559835d1a	f50e3b1d2205adea3b961e45d44fd1b299cdf9b846040562872114a0af9560e7	106	5.13	5.13	present verbatim	Nay, replied Socrates, I should be very wrong in attributing to you, A
72	Interlude: Eryximachus, Socrates, Agathon, Phaedrus	6faa166cbf4049efc8e624e1d3bcd8ebaf88389d8a6732c86ae1bea0964eb31d	6faa166cbf4049efc8e624e1d3bcd8ebaf88389d8a6732c86ae1bea0964eb31d	3	5.14	5.14	present verbatim	Yes, said Agathon.
73	Interlude: Eryximachus, Socrates, Agathon, Phaedrus	4b2930a08130770dc1c3bcf71821eff99181e4815ab2eab279be4002f984c866	4b2930a08130770dc1c3bcf71821eff99181e4815ab2eab279be4002f984c866	21	5.15	5.15	present verbatim	But before the many you would not be ashamed, if you thought that you 
74	Interlude: Eryximachus, Socrates, Agathon, Phaedrus	c1d969d5ae4bbdc9346f535d79da612131ea7b3b1e1c2ebb78240414cc9d03a3	c1d969d5ae4bbdc9346f535d79da612131ea7b3b1e1c2ebb78240414cc9d03a3	84	5.16	5.16	present verbatim	Here Phaedrus interrupted them, saying: not answer him, my dear Agatho
75	Interlude: Eryximachus, Socrates, Agathon, Phaedrus	b55edd53f649d3763850bcc7e3e4dc702a88fb48c4a00c736fe3aec7e35f61f7	917c50b823862877f19435eac79ef2a774527b86e8ad5ecc972abb5211c1d476	40	5.17	5.17	present verbatim	Very good, Phaedrus, said Agathon; I see no reason why I should not pr
76	Agathon's speech	68faf595673a04c499db0a9d7627be6d21cd7aa97e5c703712bf45837c2e55d9	62e54119620d78227925ae5e92a033d4e947a9155aa805d4a695420aa91179c6	270	6.0	6.0	present verbatim	The previous speakers, instead of praising the god Love, or unfolding 
77	Agathon's speech	5fbbc80b86b3b0c996bcbf425d225700b6fee0fea37361af77f59626cd9a296a	5fbbc80b86b3b0c996bcbf425d225700b6fee0fea37361af77f59626cd9a296a	19	6.1	6.1	present verbatim	'Her feet are tender, for she sets her steps, Not on the ground but on
78	Agathon's speech	9257e7368a0e974c1f6d3aa1055abd4aa2ea03931fe2c47a2e39e42fcd7c34d9	d853193ae9a56cc283fc36c7541c44ffb2a201dd450b1efbd48f052648c3cbc8	830	6.2,6.3,6.4	6.2,6.3,6.4	present verbatim, split into 3 reader paragraphs at sentence ends (baseline structure kept)	herein is an excellent proof of her tenderness,--that she walks not up
79	Agathon's speech	9dfd720067ee62808fbc20cd93a4bed80c06890824ee381428f0cfc16aaf64a2	9dfd720067ee62808fbc20cd93a4bed80c06890824ee381428f0cfc16aaf64a2	18	6.5	6.5	present verbatim	'Gives peace on earth and calms the stormy deep, Who stills the winds 
80	Agathon's speech	6eb2ce58ae7081689245392b1edd59fe1519df43daacb273cc8b90c3a650aa4b	213ccee4d8427391aa02b7f3b919b4c8f834c9648eef4cc8fdec820eb4b12f06	166	6.6	6.6	present verbatim	This is he who empties men of disaffection and fills them with affecti
81	Applause; Socrates's response; Phaedrus grants the questions	ff70d358ceca24a69e6e3fd1b3e6598fd2bd697a57fffab632ddcf6ccfb3c73d	ff70d358ceca24a69e6e3fd1b3e6598fd2bd697a57fffab632ddcf6ccfb3c73d	74	6.7	6.7	present verbatim	When Agathon had done speaking, Aristodemus said that there was a gene
82	Applause; Socrates's response; Phaedrus grants the questions	3704c49d7ac6f55211e50581da5172143443d12fbb56cd7992e0117d07d30431	f15aecdf850cee60d4286d2c46b1c51024c283839500a8a526b80e36f6a66424	27	6.8	6.8	present verbatim	The part of the prophecy which concerns Agathon, replied Eryximachus, 
