# Per-paragraph assessment and outcome for Symposium modern-en (accessibility pass). Coordinates chapter.index, index 0-based.
# similarity_* = word-token SequenceMatcher ratio against original-en, as in books/classify-modern-en.py. Categories: see ASSESSMENT.md.
coordinate	chapter_title	words_before	words_after	similarity_before	similarity_after	decision	categories	reason_or_note	sha256_before	sha256_after
1.15	The Gathering	10	10	0.400	0.200	TARGETED	TYP	"Quotation left open before the verse line so that Socrates visibly keeps speaking (STYLE §3.4; Review 2 #5). Speaker named (""said Socrates""), because 1.14 now names Aristodemus (consistency pass #7)."	3cc065c5403e1dae7b883b050e7b37b5bb79727420763be3431babcdefefb405	60497de28468eb3ef580b4b5553d03a61d70aa81860c8497f6aac43197fc5294
1.16	The Gathering	10	10	1.000	0.800	TARGETED	TYP	Verse text unchanged; quotation marks follow the continuation rule: continuation mark plus nested double quotes (Review 2 #5).	0f58ae27aa1b93cd80fb30adf79730216bcd5cffd4eb9878619d5376c32f5830	caf770e856fb875f1c339dccc926c04d562325c63b938b0a31fbc301c2fddfae
1.17	The Gathering	6	13	0.615	0.300	TARGETED	IMG TYP	"The proverb joke depends on Agathon's name meaning ""good""; minimal gloss added in Socrates's sentence. Quotation reopened after the verse line (STYLE §3.4)."	c96d680202b5fa3cc641da1d3be17237ac07799e71f449932ff3c93a0928064c	55f5e2d8e1a65f9b093273fbe279b01d54305402d48d35a69ffd9cd618649616
1.18	The Gathering	10	10	1.000	0.800	TARGETED	TYP	Verse text unchanged; quotation marks follow the continuation rule (Review 2 #5).	c3363670fcff1907a54e3b7d21ced0b2970c95028e5f65719c30591fad70ae81	bd1954c72bd52df2b7e7d3b2a32ee334f86cbee62b6507753e439ae7d8f2e2f3
1.19	The Gathering	67	70	0.692	0.412	TARGETED	SYN ARC TYP	"Garbled clause order (""the man who was feasting"") and ""unbidden""; rebuilt so the worse-to-the-better point is clear. Quotation reopened."	242eb8a67d064167c6f8b867cbb819dd46ba5d9c727a357dbb60c2b0a295f5d7	1417440deab12e945d3bd6da47f2e8fdcc87ea63f851d429f56ba70f0f32e032
1.20	The Gathering	26	27	0.692	0.679	TARGETED	TYP	"Stray closing-quote-and-comma artefact after ""who"" removed."	c36179d1ccdf5867a52a9506fa0b3a5eddf9da15d67ffc0da35fe9d531664867	c1bceb5c20060d7c7720936f8eb420e8f81e3a33b42a3dbf28c1629c2ab735c4
1.21	The Gathering	8	8	1.000	0.750	TARGETED	TYP	Verse text unchanged; quotation marks follow the continuation rule, so Aristodemus visibly keeps speaking (Review 2 #5).	1e06c286ec38fc1b0bd8cd3f5ce6a46d4341a730536087d7b529ab6b3c9685a8	21a6b54821d44de7fdbdbab2e09c6d323b4dd2e3983c469f4d902ed16f1362db
1.22	The Gathering	20	17	0.821	0.389	TARGETED	ARC TYP	"""bidden of you"" (= invited by you) modernized; quotation reopened after the verse line."	62b8f300e418cb0fba19e56099782c550206adba4f64fa91e0acd9a296f75281	55e0a6f73bd885d9aaaee6f9353418b040f825104919549668c84046f949fa82
1.23	The Gathering	3	3	1.000	1.000	RETAIN		Verse quotation; kept as is by rule (STYLE §2).	b6e40de1ea5c8f11dff1b358123e6f679b52dea448483d2ea46490ee067b2f29	b6e40de1ea5c8f11dff1b358123e6f679b52dea448483d2ea46490ee067b2f29
1.24	The Gathering	17	19	0.857	0.595	TARGETED	FF	"""invent an excuse by the way"" means on the way, not incidentally."	0e50eac693820081691739a1e9aa8c68fafd384b1a446154f5dcf50f845d2958	a2b51ca55f1a3aa8ea97946457395fab38cec557e9d58e6639266d6d15042f6e
1.25	The Gathering	137	127	0.822	0.638	TARGETED	ARC SYN	"""sup"", ""in a fit of abstraction"", ""make one of us"", ""meant to have asked you""."	a06e448f8f0997b867a77ba765f1780c10d462bd11be958eea9522002b3875ea	58926c5210f9b611843fca6b25a93167e9285ed6d13a18950664b1da8e5bb7cd
1.26	The Gathering	36	37	0.886	0.592	TARGETED	REF	"First-person narration (""I turned round"") is Aristodemus, not Apollodorus; named and put in the third person like 1.12 and 1.25."	41164ee7bde7fbac1a280fc810c0023c61ba471704a6b1a4ec4ef52a725ccda3	c466741c3093e2e5f105ea2f3776e55ad7d768a4e2facf3d6a9f7cbaf48dcf1b
1.27	The Gathering	13	13	0.615	0.615	RETAIN		Already clear, faithful modern English; retained (not paraphrased to lower similarity).	5b2baf061a5ef8f9cf85ba95ae775dba9b3b779a6ae848689e8b5decc884d224	5b2baf061a5ef8f9cf85ba95ae775dba9b3b779a6ae848689e8b5decc884d224
1.28	The Gathering	20	22	0.750	0.619	TARGETED	REF	"Speaker (""he said"") named as Aristodemus."	7ff28adb454fa2278c41ef6784407a97c4e952ca94993e27b61aeb83aec43ba1	cb3c8b5821b8722763d3cae31dafe784c755709d5cce81bdbfc50879507d0fee
1.29	The Gathering	23	23	0.622	0.622	RETAIN		"Already clear, faithful modern English; retained (not paraphrased to lower similarity). ""boy"" kept deliberately: an address to a slave (STYLE §2)."	4f50d10b6435904adafe7ad31da1851072f0df5d83819520ff1f1e865bb102dd	4f50d10b6435904adafe7ad31da1851072f0df5d83819520ff1f1e865bb102dd
1.30	The Gathering	48	47	0.875	0.632	TARGETED	ARC FF	"""retired into the portico"", ""There he is fixed"", ""Presently"" (= soon)."	583ef356d50cae4a5eb13a27b990b2a615b4c72ab58930370b8087aa92490b46	28621a1cb2f4039ee4841b25e6bd31e290f28c491322f5ee6af682dd8580a10f
1.31	The Gathering	14	14	0.643	0.643	RETAIN		Already clear, faithful modern English; retained (not paraphrased to lower similarity).	8f5457b049973e72aec085f2188102de22793e4a9e0c1ece72866f13643a0e1a	8f5457b049973e72aec085f2188102de22793e4a9e0c1ece72866f13643a0e1a
1.32	The Gathering	31	37	0.774	0.441	TARGETED	REF ARC	"""my informant"" named as Aristodemus; ""losing himself"" made plain."	c20e0684d7861a13d8cd5da026cd041a87fc57aad4ae4816354d37b6a1c8f68e	3d6ac53fb0ab81d6be2835a696a1fc51890eb4e9e17466da0f323b78dceab64b
1.33	The Gathering	194	190	0.868	0.677	TARGETED	TYP ARC	"Doubled quotation marks (''I may touch you ... sought.'') corrected; ""commend"", ""hitherto"" modernized."	629de5207781e348c8ab991fbf00ccc00b75d387234bab94b2fc034955231570	2a27df38342277ab8b197e02d42088fdbfc101eb5fa3cde17be248cb00fbce66
1.34	The Gathering	120	116	0.929	0.570	TARGETED	ARC IMG	"""infused by touch"", ""plenteous and fair"", ""manifested forth""; wool-and-cups image kept and made plain."	60302434fdc912e5d166207935f5e18a357bf79fabb8adddc4e082ac5103d11f	31c41c8b41b40a7b0495bda45132acdcdccb90c3af05053bf33290cd5748a71c
1.35	The Gathering	41	36	0.734	0.405	TARGETED	ARC IMG	"""ere long"", ""bears off the palm of wisdom""."	7d3443a066c7885d2f22c6e67b4e9ef2dae04bf7822d4e46b32c2c081dd1c6ea	39af697b97dac0858f0ab57b50ec16ce908e99d245606281d979da217beb7831
1.36	The Gathering	101	103	0.882	0.621	TARGETED	ARC	"""supped"", ""libations were offered"", ""commence"", ""potations"", ""of the party""."	50a64f86cbfea2c94d5aa592a8485749e6696d793f278b26d52d59f7d1698bcb	8dd101b70b45c00501325ce22aa30c10a62d6f28d220117124d15749b2639b29
1.37	The Gathering	27	27	0.778	0.778	RETAIN		Already clear, faithful modern English; retained (not paraphrased to lower similarity).	1f7b54d7e1ebe18cf513a138879b487449751209835b702893b9dd080c7a77a6	1f7b54d7e1ebe18cf513a138879b487449751209835b702893b9dd080c7a77a6
1.38	The Gathering	29	29	0.793	0.793	RETAIN		Already clear, faithful modern English; retained (not paraphrased to lower similarity).	6e62dd1da345f29cb564bfad15b8ce293634ebbe1dff162668e75f58c0f90be5	6e62dd1da345f29cb564bfad15b8ce293634ebbe1dff162668e75f58c0f90be5
1.39	The Gathering	8	8	0.750	0.750	RETAIN		Already clear, faithful modern English; retained (not paraphrased to lower similarity).	bb15cfebdcceef2474d03bf47a74b759a734eeadda1136b7d9c98ad51c09add3	bb15cfebdcceef2474d03bf47a74b759a734eeadda1136b7d9c98ad51c09add3
1.40	The Gathering	109	110	0.903	0.541	TARGETED	ARC	"""carouse"", ""drinking deep""; parenthesis about Socrates kept."	4d55147aa53986d3571e71708bb507aefc5aec0ef9e737b7522f0cb53f12f6d1	1ea66f73a85deb84ef72803ddb776a585cbbf4d7786bf39444a2babce69c55ac
1.41	The Gathering	32	34	0.875	0.455	TARGETED	ARC IMG	"""rejoined""; ""the Myrrhinusian"" glossed as a deme, matching 1.7."	51985dffb80fa32139dcad5a36b12bbab0ff3a22f002536abf651d81e1af3311	3e12e58aff214b2ff4eccf0742a515cc87e3d3e2f17f2a5ca9a4cb03ff0212f5
1.42	The Gathering	27	27	1.000	1.000	RETAIN		Already clear, faithful modern English; retained (not paraphrased to lower similarity).	b2007aefaffd90a689a4167809652010faff1a93e43fddb02b4ab5fb354d212d	b2007aefaffd90a689a4167809652010faff1a93e43fddb02b4ab5fb354d212d
1.43	The Gathering	85	86	0.895	0.497	TARGETED	ARC SYN	"""the women who are within"", absolute construction ""This proposal having been accepted""."	abdd7f023e4a6671a469f3c5ec4039ad8268f7305fcad0e564cc9623b780cddb	f1923245e4d1e77e5f553b4468d05471e8ad3c9dbce0b584228374fb82238feb
1.44	The Gathering	12	10	0.667	0.455	TARGETED	IMG TYP	"""after the manner of Melanippe in Euripides"" made explicit as a quotation from the play; quotation closed before the verse line."	6f7f51bcc670b13a9409792cf552ac7addfba0ef71311113ebd0c2e08370e171	ff14c8b23e654d21b25bb69d6810ee1c42b851cc6452a9ba2f5cf41a26278871
1.45	The Gathering	5	5	0.667	0.444	TARGETED	TYP	Verse text unchanged; quotation marks follow the continuation rule within Eryximachus's quoted speech (Review 2 #5). The editorial dash stands outside the verse marks (Recheck 1 #1).	2c24762efc674dd1344b6957bc1f71974f3c2cbac227fc1b69c11aba14a1090e	69675344325073ad05fa22c217089f48b195e75c417b48bf7f27d28b7c9dfb80
1.46	The Gathering	268	254	0.903	0.558	TARGETED	ARC TYP	"""encomiast"", ""descanted"", ""hymn Love's praises"", ""eager interest created about them""; Phaedrus's complaint marked as a nested quotation."	c1c0f7d07ff491854ebc71eba3c676d77c513f7b33cdb46494e20eac44233214	d53b9fc636f0548a1f73e19095584796e8b9d4f2b74f829316a3621fd69cbe68
1.47	The Gathering	116	105	0.870	0.621	TARGETED	SYN ARC REF	"""who profess..."", ""Nor will anyone disagree of those..."", ""bade""; ""him"" identified as Phaedrus."	2d5c5a0942701db606485915d20b53e91786b20caa2de982e5052fe4e71f8026	908bd79cc403b41dd031b006677f5e30cfd03660fc5297be892839378e844f6b
1.48	The Gathering	36	36	1.000	1.000	RETAIN		Already clear, faithful modern English; retained (not paraphrased to lower similarity).	7d7ceb1092cf3e356dedbe7b86b6f88b45f3c3b0a4795b84e02f7ddb90698aee	7d7ceb1092cf3e356dedbe7b86b6f88b45f3c3b0a4795b84e02f7ddb90698aee
2.0	Phaedrus's Speech	69	71	0.920	0.662	RENDER	ARC SYN	"""affirming"", ""of his parents there is no memorial"", ""eldest""."	0c2873a1b0e7ae7add2fd5832811625fe81e4a857ee57dc9ef197a79c6943349	b029df9dafc32bf2709a77e89625d09c8acb1bca09c400d16508379cd6865eda
2.1	Phaedrus's Speech	16	16	0.875	0.875	RETAIN		Verse quotation; kept as is by rule (STYLE §2).	f44a3e77b1f4de26a7ef37bc53bfc2fa4634e4737564ecffaba0063fec10b074	f44a3e77b1f4de26a7ef37bc53bfc2fa4634e4737564ecffaba0063fec10b074
2.2	Phaedrus's Speech	21	23	0.800	0.429	TARGETED	IMG	"""Generation"" is a personified power; one-phrase gloss."	690b431455c646328572c3ed704eaefc1c656cc65b39ba5540ca05a3542f6621	f8f2716c44a6577aa172236144413c4f0b2224f4dd750f65b7179e005b05106d
2.3	Phaedrus's Speech	9	9	1.000	1.000	RETAIN		Verse quotation; kept as is by rule (STYLE §2).	5aa574c6a7b9713b95f583c390fa03c7fbceda101af37cc89ea68cd6c642c0db	5aa574c6a7b9713b95f583c390fa03c7fbceda101af37cc89ea68cd6c642c0db
2.4	Phaedrus's Speech	255	237	0.909	0.475	RENDER	ARC SYN DIST	"""Thus numerous are the witnesses"", ""Of what am I speaking?""; ""lovers and their loves"" (persons) rendered lovers and their beloveds; public honors distinguished from the sense of honor."	d6a0cbd7c0b9f17995ceb4b5153b965dd356a6b8df2705d0204a6afd7dcbe139	01803f9c2acb656101c715309e29a48fcfca4a645017aad66ea68fdc674cc20c
2.5	Phaedrus's Speech	99	94	0.985	0.719	RENDER	ARC	"""the veriest coward"", ""infuses"", ""arms""."	f8da6b01b1676e387979ab281eacf65ef2ada0cdf9b0e87fc808d9a8b539d028	7c92a937a5220a4867129130ddd67c446bb2b5534261cde56b25ed07c43b38f3
2.6	Phaedrus's Speech	236	215	0.921	0.466	RENDER	ARC SYN	"""sent empty away"", ""showed no spirit"", ""exceeding honour"", ""her whom he sought""."	ae71506467eb3c5eec0237f6f41aa36b93862fdbf6c80c3709c46e8fee0c51f1	4e16d35de4d7e0f1d0f8a44c9df4919f3337a3903b7af2e1f6e8e6c15e544ed1
2.7	Phaedrus's Speech	221	212	0.890	0.499	RENDER	DIST FF ARC	"Lover/beloved roles stated plainly (Patroclus the lover, Achilles the beloved); ""inspired by God"" rendered ""a god""; ""dared to die, not only in his defence, but after he was dead"" clarified; ""Wherefore"", ""Blest"", ""chiefest""."	fd9e479f9babe2b115f2e737c7035765cedc56bb927a923cbf13a21f2556ea0d	f5aac3746df98150274657c51f3fb6b60d054a6427967002a4dd56e74effc3cd
3.0	Pausanias's Speech	239	240	0.537	0.544	TARGETED	TYP	"Naming consistency (Review 1A): ""the heavenly Aphrodite"" capitalized as ""the Heavenly Aphrodite"", as in 3.1. Accepted wording otherwise unchanged. ""the other love"" lowercased, as Jowett has it (glossary: as Jowett capitalizes; Recheck 1 #2, consistency pass #8). Jowett's softener ""quite"" restored (Recheck 3 #1)."	d9ef85e1ca51074a8613275b145f223a76d016d7cbb780063dddafa0ce51d6f8	d324324da9107f65e0eca99cf4dc6927f281f4a4921f90579fd12b554720cbeb
3.1	Pausanias's Speech	255	265	0.591	0.568	TARGETED	FF	"""the meaner sort"" (= baser), ""partakes"", ""the pure enthusiasts"" (= those truly inspired by this love). Minimal edit to otherwise accepted text. ""This is the love"" for the pronoun ""It"" (consistency pass #9). Jowett's ""apt to be of women as well as of youths"" rendered ""tends to be directed at women as well as at youths"" (Recheck 3 #2)."	d9924449b7f4684fb703adf8c5740d6ac8762e786722896192bec30beb2a15f4	ffe23b4f47eb6399db3018fc66fe567432a857f452b540089400dcf6ccb333d3
3.2	Pausanias's Speech	183	181	0.768	0.762	TARGETED	FF	"""play the fool with them"" now means ""act silly""; Jowett means ""make fools of them"" (Review 2 #18). Accepted wording otherwise unchanged. Jowett's explanatory ""for surely"" restored and the added ""altogether"" removed (Recheck 1 #3)."	57470890fc223f678eba388f86ba0a63015531312ab56fc96fdf8588267243f0	bc6a61805e9dc953ea371126111a636ef8acb98bb165c97657a095ba6d9a96eb
3.3	Pausanias's Speech	187	189	0.554	0.561	TARGETED	IMG	"""Lacedaemon"" rendered Sparta (glossary). The C-06 sentence is unchanged."	524ce031834ba928b910f3cd910c01243e60e0ecb79ca3ad456ac532ad4313ab	157796dd7c7c71aaab89a2c95719a0f4c0354e3ec4d25973d740a39ca5ab3c89
3.4	Pausanias's Speech	183	183	0.644	0.644	RETAIN		Already clear, faithful modern English; retained (not paraphrased to lower similarity).	a1180182955f27394f22c920c90abb8a3058480a77335a11f35549bc4508a879	a1180182955f27394f22c920c90abb8a3058480a77335a11f35549bc4508a879
3.5	Pausanias's Speech	241	244	0.683	0.671	TARGETED	FF ARC	"""pray"" (= plead), ""swear and forswear himself"" (= swear an oath and break it). Jowett's ""parents"", ""refuse to silence"" and ""slavery"" restored (Recheck 1 #4-#6)."	e212310da29213d01ca88974841e4daef3e9df99ded061d3020041691ff5d486	23464fab3e8f685eebcca17e87e06e3c40cf5b8ff5456b9647c04f391cc725cf
3.6	Pausanias's Speech	196	198	0.647	0.639	TARGETED	DIST SYN	"""Evil is the vulgar lover"" rendered ""The bad lover is the common lover"", keeping the link to Pausanias's Common Love."	1433d612220522e850c6d24a2ea45f6f3ce82df3d399834bcb367a5b02594656	2fc24761a2eb77b20aba330a2620316b6df8bde6b02f6b5cc361078e835891b6
3.7	Pausanias's Speech	154	151	0.640	0.627	TARGETED	FF	"""generous friendship"" (= noble). The C-06 sentence is unchanged."	aec0ca2a4734e5fefb90c83663673d0c2af82828011c8aa6957c86f28e218615	e4f5e47d82341292b5cc79635fb421db11c04cc5c97d0ac4f543edf3b582af2c
3.8	Pausanias's Speech	281	288	0.634	0.584	TARGETED	FF ARC	"""disinterested"" (commonly misread as uninterested) rendered unselfish; ""disappointed of his gains"". The C-06 clause is unchanged. ""the beloved who yields to him"" keeps Jowett's tenseless ""gracious loving one"" (Recheck 1 #7)."	0f34ee934b181dc0ca7f82568352353c1fe4dd32e954df890d80368ec570e9c3	aee8acfb0dda1be7d034aee4b12e8096cc25b3dec0f541e8979c67f63e19e79b
3.9	Pausanias's Speech	171	171	0.648	0.648	RETAIN		Already clear, faithful modern English; retained (not paraphrased to lower similarity).	1ffbc0fe47225aee05ecc94424873bafb93abd8cfcb92fae400651da75a4c1c2	1ffbc0fe47225aee05ecc94424873bafb93abd8cfcb92fae400651da75a4c1c2
3.10	Pausanias's Speech	79	78	0.683	0.589	TARGETED	TYP REF	"Exchange lacked quotation marks and ""he said"" could be read as Eryximachus; speaker named (Aristophanes). The narrator's aside about the ""Pausanias paused"" jingle made intelligible."	1dd2d8d8e08db21ef8d3a086218a48079cbc69e4b538565055d8087422f457f9	977e948544e185ff242f5da65beaacb853b7704d956b547238574995822cd212
3.11	Pausanias's Speech	82	82	0.586	0.563	TARGETED	TYP	"Exchange quotation marks added; ""let me recommend you hold"" corrected."	babf64be7300892ddbefa67bba2f578fa22d4c894b7b5ddd92e045b066d1e5ab	23f74657676b1899dbb68be013d94195d3a5e56f5d7700d43690969944a8f6cd
4.0	Eryximachus's Speech	230	223	0.850	0.502	RENDER	SYN FF DIST TYP	"""the fair"", ""affection of the soul"", ""the double love"", ""deity ... whose empire"", ""indulge""; set speech given without enclosing quotes (STYLE §3.1)."	b0aa001355c6c64aa9a33ff67c50e4842e060324305d11589aa9dfc22e8c026e	39ae77caba5a83100131ca4d72fc4f645585ab5c8f2da986faf7bc12ddfa9aa0
4.1	Eryximachus's Speech	248	256	0.920	0.531	RENDER	FF IMG SYN	"""fair love from foul"", ""gymnastic and husbandry""; Heraclitus's bow-and-lyre image glossed in a clause. ""his dominion"" rendered ""the rule of love"": the documented exception in STYLE §1a (Review 1A #8). Jowett's ""or"" and ""our friends the poets"" restored (Recheck 1 #8)."	000c08186b6ab95faf17428307d82951d33a7606e784305c977daaedb7611b87	c296f4c223ac12e8f79d86af6984ffef20bb14f8931d3089362978144b9e05cf
4.2	Eryximachus's Speech	198	204	0.924	0.420	RENDER	SYN FF DIST	"""which accordance, as in the former instance, medicine ... music implants""; ""symphony"" (= consonance); ""love which has not yet become double""; ""airs or metres"". Jowett's ""an agreement"" and ""in all these cases"" restored (Recheck 1 #9). Jowett's ""concerned with the principles of love"" restored (Recheck 3 #3)."	ffea78c584f8fc04ba0d5435d91a1f118053f6309d7cfa82204c90ab79931644	3264c5c63c16cb4741df7d050728e527762c29de88c22193ef810e7b933a336d
4.3	Eryximachus's Speech	139	142	0.926	0.458	RENDER	IMG FF SYN	"Urania and Polyhymnia tied explicitly to the heavenly and common loves; ""vulgar"", ""accepting the temperate"", ""licentiousness"", ""epicure""."	8ec207eed4753c872da10bf14520517a08c94ea12aad473696c7f3da3c4ed552	a5313038705a485508825b1d39e1acf08213a59f7224cc4fa97de79a830a7c6b
4.4	Eryximachus's Speech	268	259	0.938	0.414	RENDER	FF ARC SYN	"""the wanton love"" (= unruly), ""hoar-frost"", ""Wherefore"", ""working by a knowledge of the religious or irreligious tendencies""."	0905bd571bcb4bd03f971ddce9d5415f653bada2dfbebfd420d4691c7cc0644a	398f1993d1c783de349ef6cd94ba5770fef973c365e62337c9dd13450d9dc765
4.5	Eryximachus's Speech	104	104	0.957	0.628	RENDER	FF ARC TYP	"""temperance"" (glossary: self-control), ""line of commendation"", ""hiccough""; stray closing quote removed."	bf8c87a38323efe1bff7f89d1824a1e0c3b973e3b6dff0605a5b98447213c803	9cb66b2bbac01837d608ea3e51c59127c154f6e6adb38c731f96ae8bf52be502
4.6	Eryximachus's Speech	45	43	0.854	0.414	TARGETED	ARC TYP	"""hiccough"", ""applied the sneezing""."	517265ec25edb42ff469b88030aef5844348f5a9db97aeeebb48eb5ccc15a1bf	ea8002efb26fe08073406793910c98e537f130e73d4cdda876515bddbcb4c0ec
4.7	Eryximachus's Speech	41	43	0.914	0.602	TARGETED	SYN	"""Beware ... although you are going to speak, you are making fun of me ... when you might speak in peace"" untangled."	e14987ac00916e9b7d39a8fbde96c81aacef0f1cddea3db25d309a869710b657	b14c06f40b85af19415f8233c9bacbf4de406be5b4f815ed8fe9d433ce48dbd8
4.8	Eryximachus's Speech	61	58	0.803	0.303	TARGETED	ARC	"""unsay my words"", ""do you please not to watch me"", ""to the manner born of our muse"". Jowett's ""only"" restored (Recheck 1 #10)."	8938b9db0ebf67f16cd14f40a12b1ddc22bdb2ebae05ca47de69ebdda503d14e	28daad90495698cdb2c50f5c34617079c1d7c7b383403e2d518872103d9bce49
4.9	Eryximachus's Speech	36	43	0.944	0.481	TARGETED	IMG REF	"""shoot your bolt and escape""; speaker (Eryximachus) named."	cdf0fe70aaf17e6bd2209c322d90e07f84a04e35f634491f27686d6b6db9ea29	af95a868573d92208129a5b3ac111717fa6552e76dbd2518f67ca2a3bc9133ee
5.0	Aristophanes's Speech	273	255	0.945	0.500	RENDER	SYN EUPH TYP	"""professed to open another vein of discourse"", ""privy members"" (plain: genitals); ""the primeval man"" (generic) rendered ""these first human beings""; set-speech convention."	747fecb8c27ed430930e69b0c248fb3f6c1b4be584b0bc40758385e5d146672e	a80ed12c323fb2f8bf1bd3eb3e459e74e7e187e74fcc16ae37bd3b09e0b9c161
5.1	Aristophanes's Speech	287	297	0.953	0.489	RENDER	ARC SYN TYP	"""Methinks"", ""Terrible was their might"", ""the thoughts of their hearts were great"", ""Doubt reigned in the celestial councils"", ""tumblers""; Zeus's speech continues into 5.2. Homer is cited only for the attack on heaven, as in Jowett (Recheck 1 #11); ""was the child of the moon"" (Recheck 1 #12)."	e9b2672047e448e5e0e07e7e0f58467886cb3d6ee2c571e936e511c448fdddc4	96692674d5fd98b554d0aab25ab010f5cf188f17f2e5d9c077c843b03ec6131e
