group,bookId,edition,title,provenance,chapters,timed,missing,alignableNow,needsRecordingRepair,verifiedPass,verifiedFail,audioHours,state,blocker
non-ai,king-lear,original-en,King Lear,"historical text, Shakespeare (1608)",26,0,26,26,0,0,0,2.86,processing,26 chapter(s) alignable now
non-ai,poetics,original-en,Poetics,human translation by S. H. Butcher (1895),26,0,26,26,0,0,0,1.5,processing,26 chapter(s) alignable now
non-ai,pride-and-prejudice,original-en,Pride and Prejudice,"historical text, Original (1813)",61,35,26,26,0,0,0,11.48,processing,26 chapter(s) alignable now
non-ai,the-prince,original-en,The Prince,human translation by W.K. Marriott (1908),27,0,27,27,0,0,0,3.1,processing,27 chapter(s) alignable now
non-ai,faust-part-1,original-en,"Faust, Part One",human translation by Bayard Taylor (1870),28,0,28,1,27,0,0,3.55,blocked-on-repair,27 chapter(s) need a recording repaired; 1 alignable now
non-ai,coriolanus,original-en,Coriolanus,"historical text, Shakespeare (1623)",29,0,29,29,0,0,0,3.09,processing,29 chapter(s) alignable now
non-ai,cymbeline,original-en,Cymbeline,"historical text, Shakespeare (1623)",29,0,29,29,0,0,0,2.93,processing,29 chapter(s) alignable now
non-ai,candide,original-en,Candide,human translation by William F. Fleming (1901),30,0,30,30,0,0,0,3.12,processing,30 chapter(s) alignable now
non-ai,measure-for-measure,original-en,Measure for Measure,"historical text, Shakespeare (1623)",32,0,32,0,32,0,0,3.48,blocked-on-repair,32 chapter(s) need a recording repaired; 0 alignable now
non-ai,jane-eyre,original-en,Jane Eyre,"English-language original, published 1847",38,3,35,35,0,0,0,17.49,processing,35 chapter(s) alignable now
non-ai,around-the-world-80-days,original-en,Around the World in Eighty Days,human translation by George Towle (1873),37,0,37,37,0,0,0,6.43,processing,37 chapter(s) alignable now
non-ai,crime-and-punishment,original-en,Crime and Punishment,human translation by Constance Garnett (1914),41,3,38,38,0,0,0,18.9,processing,38 chapter(s) alignable now
non-ai,merry-wives-of-windsor,original-en,The Merry Wives of Windsor,"historical text, Shakespeare (1623)",41,0,41,2,39,0,0,4.63,blocked-on-repair,39 chapter(s) need a recording repaired; 2 alignable now
non-ai,antony-and-cleopatra,original-en,Antony and Cleopatra,"historical text, Shakespeare (1623)",42,0,42,42,0,0,0,2.9,processing,42 chapter(s) alignable now
non-ai,beowulf,original-en,Beowulf,human translation by J. Lesslie Hall (1892),43,0,43,43,0,0,0,2.53,processing,43 chapter(s) alignable now
non-ai,great-expectations,original-en,Great Expectations,"English-language original, published 1861",59,9,50,50,0,0,0,16.74,processing,50 chapter(s) alignable now
non-ai,don-quixote,original-en,Don Quixote,human translation by John Ormsby,126,74,52,52,0,0,0,36.06,processing,52 chapter(s) alignable now
non-ai,moby-dick,original-en,Moby Dick,"English-language original, published 1851",136,76,60,60,0,0,0,20.29,processing,60 chapter(s) alignable now
non-ai,divine-comedy,original-en,The Divine Comedy,human translation by Henry Wadsworth Longfellow (1867),100,33,67,67,0,0,0,11.16,processing,67 chapter(s) alignable now
non-ai,brothers-karamazov,original-en,The Brothers Karamazov,human translation by Constance Garnett (1912),96,23,73,73,0,0,0,32.13,processing,73 chapter(s) alignable now
non-ai,bible,web-en,The Bible,WEB Bible — human translation,1189,1112,77,66,11,0,0,66.16,blocked-on-repair,11 chapter(s) need a recording repaired; 66 alignable now
non-ai,werther,original-en,The Sorrows of Young Werther,human translation by R. D. Boylan,84,0,84,84,0,0,0,3.95,processing,84 chapter(s) alignable now
non-ai,democracy-in-america,original-en,Democracy in America,"human translation by Henry Reeve, revised by Francis Bowen (1862)",96,0,96,95,1,0,0,31.11,blocked-on-repair,1 chapter(s) need a recording repaired; 95 alignable now
non-ai,essays-montaigne,original-en,Essays,"human translation by Charles Cotton, ed. William Hazlitt",107,0,107,0,107,0,0,48.93,blocked-on-repair,107 chapter(s) need a recording repaired; 0 alignable now
non-ai,imitation-of-christ,original-en,The Imitation of Christ,"English-language original, published 1886",114,0,114,114,0,0,0,5.86,processing,114 chapter(s) alignable now
non-ai,anna-karenina,original-en,Anna Karenina,human translation by Constance Garnett,239,86,153,153,0,0,0,33.3,processing,153 chapter(s) alignable now
non-ai,war-and-peace,original-en,War and Peace,human translation by Aylmer & Louise Maude (1922),365,105,260,255,5,0,0,52.93,blocked-on-repair,5 chapter(s) need a recording repaired; 255 alignable now
non-ai-undocumented,gilgamesh,original-en,The Epic of Gilgamesh,"public-domain source per the book pipeline, but the registry records no translator, year or dated label (label 'Prose Compilation')",12,12,0,0,0,0,0,1.75,complete-unverified,"timings present; not all verified, reader not watched"
non-ai-undocumented,fear-and-trembling,original-en,Fear and Trembling,"public-domain source per the book pipeline, but the registry records no translator, year or dated label (label 'Original (English)')",8,0,8,8,0,0,0,4.1,processing,8 chapter(s) alignable now
non-ai-undocumented,midsummer,original-en,A Midsummer Night\'s Dream,"public-domain source per the book pipeline, but the registry records no translator, year or dated label (label 'Original Text')",9,0,9,9,0,0,0,1.71,processing,9 chapter(s) alignable now
non-ai-undocumented,the-tempest,original-en,The Tempest,"public-domain source per the book pipeline, but the registry records no translator, year or dated label (label 'Original Text')",10,1,9,9,0,0,0,1.81,processing,9 chapter(s) alignable now
non-ai-undocumented,hamlet,original-en,Hamlet,"public-domain source per the book pipeline, but the registry records no translator, year or dated label (label 'Original Text')",20,2,18,18,0,0,0,3.24,processing,18 chapter(s) alignable now
non-ai-undocumented,romeo-and-juliet,original-en,Romeo and Juliet,"public-domain source per the book pipeline, but the registry records no translator, year or dated label (label 'Original Text')",25,3,22,22,0,0,0,2.6,processing,22 chapter(s) alignable now
non-ai-undocumented,macbeth,original-en,Macbeth,"public-domain source per the book pipeline, but the registry records no translator, year or dated label (label 'Original Text')",28,3,25,25,0,0,0,1.76,processing,25 chapter(s) alignable now
ai-created,crito,modern-en,Crito,CLI-generated Modern English edition,3,3,0,0,0,0,0,0.42,complete-unverified,"timings present; not all verified, reader not watched"
ai-created,ivan-ilyich,modern-en,The Death of Ivan Ilyich,CLI-generated Modern English edition,0,0,0,0,0,0,0,0.0,no-audio,no chapter manifests in production
ai-created,kant-groundwork,modern-en,Groundwork of the Metaphysics of Morals,CLI-generated Modern English edition,4,4,0,0,0,0,0,2.98,complete-unverified,"timings present; not all verified, reader not watched"
ai-created,magna-carta,modern-en,Magna Carta,CLI-generated Modern English edition,1,1,0,0,0,0,0,0.45,complete-unverified,"timings present; not all verified, reader not watched"
ai-created,on-liberty,modern-en,On Liberty,CLI-generated Modern English edition,5,5,0,0,0,0,0,4.67,complete-unverified,"timings present; not all verified, reader not watched"
ai-created,social-contract,modern-en,The Social Contract,CLI-generated Modern English edition,48,48,0,0,0,0,0,4.26,complete-unverified,"timings present; not all verified, reader not watched"
ai-created,the-manual,modern-en,The Manual,CLI-generated Modern English edition,52,52,0,0,0,0,0,0.58,complete-unverified,"timings present; not all verified, reader not watched"
ai-created,us-founding-documents,modern-en,The US Founding Documents,CLI-generated Modern English edition,4,4,0,0,0,0,0,0.9,complete-unverified,"timings present; not all verified, reader not watched"
ai-created,apology,modern-en,Apology,CLI-generated Modern English edition,3,2,1,0,0,0,0,0.7,processing,1 chapter(s) lack timings; readiness not yet assessed
ai-created,communist-manifesto,modern-en,The Communist Manifesto,CLI-generated Modern English edition,5,4,1,0,0,0,0,1.28,processing,1 chapter(s) lack timings; readiness not yet assessed
ai-created,poetics,modern-en,Poetics,CLI-generated Modern English edition,26,25,1,0,0,0,0,1.35,processing,1 chapter(s) lack timings; readiness not yet assessed
ai-created,utilitarianism,modern-en,Utilitarianism,CLI-generated Modern English edition,5,4,1,0,0,0,0,1.69,processing,1 chapter(s) lack timings; readiness not yet assessed
ai-created,confessions,modern-en,Confessions,CLI-generated Modern English edition,13,11,2,0,0,0,0,9.96,processing,2 chapter(s) lack timings; readiness not yet assessed
ai-created,descartes-meditations,modern-en,Meditations on First Philosophy,CLI-generated Modern English edition,9,7,2,0,0,0,0,2.68,processing,2 chapter(s) lack timings; readiness not yet assessed
ai-created,fear-and-trembling,modern-en,Fear and Trembling,CLI-generated Modern English edition,8,6,2,0,0,0,0,4.04,processing,2 chapter(s) lack timings; readiness not yet assessed
ai-created,heart-of-darkness,modern-en,Heart of Darkness,CLI-generated Modern English edition,3,1,2,0,0,0,0,2.77,processing,2 chapter(s) lack timings; readiness not yet assessed
ai-created,odyssey,modern-en,The Odyssey,CLI-generated Modern English edition,24,22,2,0,0,0,0,9.26,processing,2 chapter(s) lack timings; readiness not yet assessed
ai-created,second-treatise,modern-en,Second Treatise of Government,CLI-generated Modern English edition,19,17,2,0,0,0,0,5.14,processing,2 chapter(s) lack timings; readiness not yet assessed
ai-created,symposium,modern-en,Symposium,CLI-generated Modern English edition,8,6,2,0,0,0,0,1.92,processing,2 chapter(s) lack timings; readiness not yet assessed
ai-created,frederick-douglass,modern-en,Narrative of the Life of Frederick Douglass,CLI-generated Modern English edition,12,9,3,0,0,0,0,3.1,processing,3 chapter(s) lack timings; readiness not yet assessed
ai-created,genealogy-of-morals,modern-en,On the Genealogy of Morals,CLI-generated Modern English edition,4,1,3,0,0,0,0,5.32,processing,3 chapter(s) lack timings; readiness not yet assessed
ai-created,gilgamesh,modern-en,The Epic of Gilgamesh,CLI-generated Modern English edition,12,9,3,0,0,0,0,1.48,processing,3 chapter(s) lack timings; readiness not yet assessed
ai-created,notes-from-underground,modern-en,Notes from Underground,CLI-generated Modern English edition,21,18,3,0,0,0,0,3.91,processing,3 chapter(s) lack timings; readiness not yet assessed
ai-created,werther,modern-en,The Sorrows of Young Werther,CLI-generated Modern English edition,84,81,3,0,0,0,0,3.52,processing,3 chapter(s) lack timings; readiness not yet assessed
ai-created,aristotle-politics,modern-en,Politics,CLI-generated Modern English edition,8,4,4,0,0,0,0,8.11,processing,4 chapter(s) lack timings; readiness not yet assessed
ai-created,discourse-on-inequality,modern-en,Discourse on the Origin of Inequality,CLI-generated Modern English edition,4,0,4,0,0,0,0,2.12,processing,4 chapter(s) lack timings; readiness not yet assessed
ai-created,medea,modern-en,Medea,CLI-generated Modern English edition,7,3,4,0,0,0,0,1.26,processing,4 chapter(s) lack timings; readiness not yet assessed
ai-created,phaedrus,modern-en,Phaedrus,CLI-generated Modern English edition,6,1,5,0,0,0,0,2.06,processing,5 chapter(s) lack timings; readiness not yet assessed
ai-created,bacchae,modern-en,The Bacchae,CLI-generated Modern English edition,11,5,6,0,0,0,0,1.33,processing,6 chapter(s) lack timings; readiness not yet assessed
ai-created,hume-enquiry,modern-en,An Enquiry Concerning Human Understanding,CLI-generated Modern English edition,19,13,6,0,0,0,0,5.37,processing,6 chapter(s) lack timings; readiness not yet assessed
ai-created,jekyll-and-hyde,modern-en,Strange Case of Dr Jekyll and Mr Hyde,CLI-generated Modern English edition,10,4,6,0,0,0,0,1.71,processing,6 chapter(s) lack timings; readiness not yet assessed
ai-created,nicomachean-ethics,modern-en,Nicomachean Ethics,CLI-generated Modern English edition,10,4,6,0,0,0,0,7.72,processing,6 chapter(s) lack timings; readiness not yet assessed
ai-created,antigone,modern-en,Antigone,CLI-generated Modern English edition,11,4,7,0,0,0,0,1.02,processing,7 chapter(s) lack timings; readiness not yet assessed
ai-created,iliad,modern-en,The Iliad,CLI-generated Modern English edition,24,17,7,0,0,0,0,13.25,processing,7 chapter(s) lack timings; readiness not yet assessed
ai-created,jungle-book,modern-en,The Jungle Book,CLI-generated Modern English edition,7,0,7,0,0,0,0,3.74,processing,7 chapter(s) lack timings; readiness not yet assessed
ai-created,oedipus-at-colonus,modern-en,Oedipus at Colonus,CLI-generated Modern English edition,11,4,7,0,0,0,0,1.4,processing,7 chapter(s) lack timings; readiness not yet assessed
ai-created,oedipus-rex,modern-en,Oedipus Rex,CLI-generated Modern English edition,11,4,7,0,0,0,0,1.3,processing,7 chapter(s) lack timings; readiness not yet assessed
ai-created,peloponnesian-war,modern-en,History of the Peloponnesian War,CLI-generated Modern English edition,26,19,7,0,0,0,0,19.15,processing,7 chapter(s) lack timings; readiness not yet assessed
ai-created,phaedo,modern-en,Phaedo,CLI-generated Modern English edition,9,2,7,0,0,0,0,2.1,processing,7 chapter(s) lack timings; readiness not yet assessed
ai-created,a-little-princess,modern-en,A Little Princess,CLI-generated Modern English edition,19,11,8,0,0,0,0,6.0,processing,8 chapter(s) lack timings; readiness not yet assessed
ai-created,beyond-good-and-evil,modern-en,Beyond Good and Evil,CLI-generated Modern English edition,11,3,8,0,0,0,0,6.54,processing,8 chapter(s) lack timings; readiness not yet assessed
ai-created,midsummer,modern-en,A Midsummer Night\'s Dream,CLI-generated Modern English edition,9,0,9,0,0,0,0,1.75,processing,9 chapter(s) lack timings; readiness not yet assessed
ai-created,paradise-lost,modern-en,Paradise Lost,CLI-generated Modern English edition,12,3,9,0,0,0,0,6.96,processing,9 chapter(s) lack timings; readiness not yet assessed
ai-created,the-prince,modern-en,The Prince,CLI-generated Modern English edition,27,18,9,0,0,0,0,2.82,processing,9 chapter(s) lack timings; readiness not yet assessed
ai-created,the-tempest,modern-en,The Tempest,CLI-generated Modern English edition,10,1,9,0,0,0,0,1.85,processing,9 chapter(s) lack timings; readiness not yet assessed
ai-created,the-republic,modern-en,The Republic,CLI-generated Modern English edition,10,0,10,0,0,0,0,9.5,processing,10 chapter(s) lack timings; readiness not yet assessed
ai-created,comedy-of-errors,modern-en,The Comedy of Errors,CLI-generated Modern English edition,11,0,11,0,0,0,0,1.63,processing,11 chapter(s) lack timings; readiness not yet assessed
ai-created,frankenstein,modern-en,Frankenstein,CLI-generated Modern English edition,28,17,11,0,0,0,0,5.91,processing,11 chapter(s) lack timings; readiness not yet assessed
ai-created,niels-lyhne,modern-en,Niels Lyhne,CLI-generated Modern English edition,14,3,11,0,0,0,0,6.24,processing,11 chapter(s) lack timings; readiness not yet assessed
ai-created,meditations,modern-en,Meditations,CLI-generated Modern English edition,12,0,12,0,0,0,0,3.06,processing,12 chapter(s) lack timings; readiness not yet assessed
ai-created,taming-of-the-shrew,modern-en,The Taming of the Shrew,CLI-generated Modern English edition,12,0,12,0,0,0,0,2.1,processing,12 chapter(s) lack timings; readiness not yet assessed
ai-created,the-aeneid,modern-en,The Aeneid,CLI-generated Modern English edition,12,0,12,0,0,0,0,3.88,processing,12 chapter(s) lack timings; readiness not yet assessed
ai-created,the-art-of-war,modern-en,The Art of War,CLI-generated Modern English edition,13,0,13,0,0,0,0,0.95,processing,13 chapter(s) lack timings; readiness not yet assessed
ai-created,winters-tale,modern-en,winters-tale,CLI-generated Modern English edition,15,2,13,0,0,0,0,2.55,processing,13 chapter(s) lack timings; readiness not yet assessed
ai-created,as-you-like-it,modern-en,As You Like It,CLI-generated Modern English edition,17,3,14,0,0,0,0,2.13,processing,14 chapter(s) lack timings; readiness not yet assessed
ai-created,beowulf,modern-en,Beowulf,CLI-generated Modern English edition,43,29,14,0,0,0,0,2.56,processing,14 chapter(s) lack timings; readiness not yet assessed
ai-created,jerusalem,modern-en,Jerusalem,CLI-generated Modern English edition,18,4,14,0,0,0,0,6.6,processing,14 chapter(s) lack timings; readiness not yet assessed
ai-created,othello,modern-en,Othello,CLI-generated Modern English edition,15,1,14,0,0,0,0,2.89,processing,14 chapter(s) lack timings; readiness not yet assessed
ai-created,henry-iv-part-2,modern-en,"Henry IV, Part 2",CLI-generated Modern English edition,19,4,15,0,0,0,0,2.75,processing,15 chapter(s) lack timings; readiness not yet assessed
ai-created,twelfth-night,modern-en,Twelfth Night,CLI-generated Modern English edition,18,3,15,0,0,0,0,2.18,processing,15 chapter(s) lack timings; readiness not yet assessed
ai-created,vindication-rights-of-woman,modern-en,A Vindication of the Rights of Woman,CLI-generated Modern English edition,15,0,15,0,0,0,0,8.42,processing,15 chapter(s) lack timings; readiness not yet assessed
ai-created,candide,modern-en,Candide,CLI-generated Modern English edition,30,14,16,0,0,0,0,3.05,processing,16 chapter(s) lack timings; readiness not yet assessed
ai-created,julius-caesar,modern-en,Julius Caesar,CLI-generated Modern English edition,18,2,16,0,0,0,0,2.13,processing,16 chapter(s) lack timings; readiness not yet assessed
ai-created,much-ado-about-nothing,modern-en,Much Ado About Nothing,CLI-generated Modern English edition,17,1,16,0,0,0,0,2.29,processing,16 chapter(s) lack timings; readiness not yet assessed
ai-created,hamlet,modern-en,Hamlet,CLI-generated Modern English edition,20,3,17,0,0,0,0,3.14,processing,17 chapter(s) lack timings; readiness not yet assessed
ai-created,oresteia,modern-en,The Oresteia,CLI-generated Modern English edition,26,9,17,0,0,0,0,3.43,processing,17 chapter(s) lack timings; readiness not yet assessed
ai-created,ulysses,modern-en,Ulysses,CLI-generated Modern English edition,18,1,17,0,0,0,0,29.56,processing,17 chapter(s) lack timings; readiness not yet assessed
ai-created,federalist-papers,modern-en,The Federalist Papers,CLI-generated Modern English edition,85,67,18,0,0,0,0,18.12,processing,18 chapter(s) lack timings; readiness not yet assessed
ai-created,walden,modern-en,Walden,CLI-generated Modern English edition,18,0,18,0,0,0,0,9.65,processing,18 chapter(s) lack timings; readiness not yet assessed
ai-created,merchant-of-venice,modern-en,The Merchant of Venice,CLI-generated Modern English edition,20,1,19,0,0,0,0,2.16,processing,19 chapter(s) lack timings; readiness not yet assessed
ai-created,richard-iii,modern-en,Richard III,CLI-generated Modern English edition,25,6,19,0,0,0,0,3.21,processing,19 chapter(s) lack timings; readiness not yet assessed
ai-created,henry-v,modern-en,Henry V,CLI-generated Modern English edition,23,3,20,0,0,0,0,2.69,processing,20 chapter(s) lack timings; readiness not yet assessed
ai-created,romeo-and-juliet,modern-en,Romeo and Juliet,CLI-generated Modern English edition,25,4,21,0,0,0,0,2.58,processing,21 chapter(s) lack timings; readiness not yet assessed
