id,title,author,scope,core_key_en,has_modern_en,chapters_core,chapters_modern,chapter_count_mismatch,para_count_mismatch_total,mean_weighted_similarity,pct_identical_long_paragraphs,truncated_paragraphs_total,empty_paragraphs_total,last_chapter_suspiciously_short,en_editions_aligned,word_count_core,word_count_modern_en
meditations,Meditations,Marcus Aurelius,public,original-en,True,12,12,False,0,0.8393,1.7,0,0,False,True,57307,57236
divine-comedy,The Divine Comedy,Dante Alighieri,public,original-en,True,100,100,False,0,0.4045,0.0,8,0,False,True,111060,109841
jane-eyre,Jane Eyre,Charlotte Brontë,public,original-en,True,38,38,False,0,0.6753,0.9,17,0,False,True,184364,175639
the-aeneid,The Aeneid,Virgil,public,original-en,True,12,12,False,0,0.6503,0.0,0,0,False,True,107470,109977
paradise-lost,Paradise Lost,John Milton,public,original-en,True,12,12,False,0,0.5363,0.0,0,0,False,True,79739,84141
frankenstein,Frankenstein,Mary Shelley,public,original-en,True,28,28,False,0,0.542,0.3,1,0,False,True,74919,63214
the-manual,The Manual,Epictetus,public,original-en,True,52,52,False,0,0.3399,0.0,1,0,False,True,8111,6221
apology,Apology,Plato,public,original-en,True,3,3,False,0,0.3598,0.0,11,0,False,True,11383,7856
symposium,Symposium,Plato,public,original-en,True,8,8,False,0,0.8796,1.8,0,0,True,True,21429,21457
phaedo,Phaedo,Plato,public,original-en,True,9,9,False,0,0.7747,4.2,0,0,False,True,27292,26337
crito,Crito,Plato,public,original-en,True,3,3,False,0,0.5391,0.0,1,0,False,True,5347,4576
phaedrus,Phaedrus,Plato,public,original-en,True,6,6,False,0,0.7272,3.2,0,0,False,True,23027,21683
poetics,Poetics,Aristotle,public,original-en,True,26,26,False,0,0.7845,1.6,7,0,False,True,14802,13507
moby-dick,Moby Dick,Herman Melville,public,original-en,True,136,136,False,0,0.702,2.9,78,0,False,True,207804,191004
great-expectations,Great Expectations,Charles Dickens,public,original-en,True,59,59,False,0,0.7827,0.6,2,0,False,True,184218,181350
the-histories,The Histories,Herodotus,public,original-en,True,1525,1525,False,0,0.6802,0.1,1,0,False,True,284922,259323
niels-lyhne,Niels Lyhne,J.P. Jacobsen,public,original-en,True,14,14,False,0,0.9207,10.9,0,0,False,True,68196,68875
imitation-of-christ,The Imitation of Christ,Thomas à Kempis,public,original-en,True,114,114,False,0,0.5066,2.1,0,0,False,True,61341,56603
jerusalem,Jerusalem,Selma Lagerlöf,public,original-en,True,18,18,False,0,0.8805,32.0,18,0,False,True,77761,73351
the-awakening,The Awakening,Kate Chopin,public,original-en,True,39,39,False,0,0.8659,36.9,0,0,False,True,49605,47867
brothers-karamazov,The Brothers Karamazov,Fyodor Dostoevsky,public,original-en,True,96,96,False,0,0.8971,8.1,0,0,False,True,349373,349146
iliad,The Iliad,Homer,public,original-en,True,24,24,False,0,0.9217,5.0,0,0,False,True,152639,151096
nicomachean-ethics,Nicomachean Ethics,Aristotle,public,original-en,True,10,10,False,0,0.6355,0.1,0,0,False,True,92325,79500
the-prince,The Prince,Niccolò Machiavelli,public,original-en,True,27,27,False,0,0.7593,0.4,0,0,False,True,32405,28879
beyond-good-and-evil,Beyond Good and Evil,Friedrich Nietzsche,public,original-en,True,11,11,False,0,0.8759,11.1,0,0,True,True,62412,63623
kant-groundwork,Groundwork of the Metaphysics of Morals,Immanuel Kant,public,original-en,True,4,4,False,0,0.8592,1.1,0,0,False,True,30736,30431
beowulf,Beowulf,Anonymous,public,original-en,True,43,43,False,0,0.5231,0.0,0,0,False,True,24338,25923
candide,Candide,Voltaire,public,original-en,True,30,30,False,0,0.7289,0.7,0,0,False,True,32209,31563
democracy-in-america,Democracy in America,Alexis de Tocqueville,public,original-en,True,96,96,False,0,0.8975,9.2,0,0,False,True,308203,303372
oedipus-rex,Oedipus Rex,Sophocles,public,original-en,True,11,11,False,0,0.5592,0.0,0,0,False,True,12439,13764
oedipus-at-colonus,Oedipus at Colonus,Sophocles,public,original-en,True,11,11,False,0,0.4875,0.0,0,0,False,True,13557,14767
antigone,Antigone,Sophocles,public,original-en,True,11,11,False,0,0.5841,0.0,0,0,False,True,10026,10689
genealogy-of-morals,On the Genealogy of Morals,Friedrich Nietzsche,public,original-en,True,4,4,False,0,0.945,1.7,0,0,False,True,51776,52860
descartes-meditations,Meditations on First Philosophy,René Descartes,public,original-en,True,9,9,False,0,0.7917,0.0,0,0,False,True,30126,29003
on-liberty,On Liberty,John Stuart Mill,public,original-en,True,5,5,False,0,0.9577,3.2,0,0,False,True,47029,47144
utilitarianism,Utilitarianism,John Stuart Mill,public,original-en,True,5,5,False,0,0.8159,1.1,0,0,False,True,27499,27074
peloponnesian-war,History of the Peloponnesian War,Thucydides,public,original-en,True,26,26,False,0,0.84,1.6,0,0,False,True,204120,200417
aristotle-politics,Politics,Aristotle,public,original-en,True,8,8,False,0,0.8763,0.8,6,0,False,True,90701,86194
leviathan,Leviathan,Thomas Hobbes,public,original-en,True,49,49,False,0,0.6194,0.0,0,0,False,True,207403,209039
fear-and-trembling,Fear and Trembling,Søren Kierkegaard,public,original-en,True,8,8,False,0,0.7629,0.4,0,0,False,True,43777,43817
communist-manifesto,The Communist Manifesto,Karl Marx & Friedrich Engels,public,original-en,True,5,5,False,0,0.9108,13.9,0,0,False,True,11395,11282
second-treatise,Second Treatise of Government,John Locke,public,original-en,True,19,19,False,0,0.8645,1.0,0,0,False,True,54832,55556
hume-enquiry,An Enquiry Concerning Human Understanding,David Hume,public,original-en,True,19,19,False,0,0.8496,1.6,0,0,False,True,53644,53188
social-contract,The Social Contract,Jean-Jacques Rousseau,public,original-en,True,48,48,False,0,0.8425,1.0,0,0,True,True,44073,43231
wealth-of-nations,The Wealth of Nations,Adam Smith,public,original-en,True,32,32,False,0,0.6676,1.0,0,0,False,True,379438,352310
werther,The Sorrows of Young Werther,Johann Wolfgang von Goethe,public,original-en,True,84,84,False,0,0.3714,0.0,0,0,False,True,42304,40815
faust-part-1,"Faust, Part One",Johann Wolfgang von Goethe,public,original-en,True,28,28,False,0,0.6511,1.3,25,0,False,True,35368,34570
oresteia,The Oresteia,Aeschylus,public,original-en,True,26,26,False,0,0.6064,2.2,0,0,False,True,34061,36797
bacchae,The Bacchae,Euripides,public,original-en,True,11,11,False,0,0.6163,0.0,0,0,False,True,13451,14283
medea,Medea,Euripides,public,original-en,True,7,7,False,0,0.4948,0.0,0,0,False,True,14167,14719
confessions,Confessions,Augustine,public,original-en,True,13,13,False,0,0.9258,74.1,0,0,False,True,111775,112709
notes-from-underground,Notes from Underground,Fyodor Dostoevsky,public,original-en,True,21,21,False,0,0.8553,3.9,0,0,False,True,44050,42757
magna-carta,Magna Carta,Anonymous (sealed by King John),public,original-en,True,1,1,False,0,0.8811,9.6,0,0,False,True,4525,4593
us-founding-documents,The US Founding Documents,"Various (Jefferson, Madison, et al.)",public,original-en,True,4,4,False,0,0.7786,1.5,0,0,False,True,8851,8777
federalist-papers,The Federalist Papers,"Hamilton, Madison, Jay (as ""Publius"")",public,original-en,True,85,85,False,0,0.8328,4.5,0,0,False,True,188055,178251
frederick-douglass,Narrative of the Life of Frederick Douglass,Frederick Douglass,public,original-en,True,12,12,False,0,0.658,3.9,0,0,False,True,36168,35673
a-little-princess,A Little Princess,Frances Hodgson Burnett,public,original-en,True,19,19,False,0,0.8561,3.8,0,0,False,True,66175,66160
jungle-book,The Jungle Book,Rudyard Kipling,public,original-en,True,7,7,False,0,0.9719,46.0,0,0,False,True,50774,50675
around-the-world-80-days,Around the World in Eighty Days,Jules Verne,public,original-en,True,37,37,False,0,0.8393,6.9,0,0,False,True,62197,61964
heart-of-darkness,Heart of Darkness,Joseph Conrad,public,original-en,True,3,3,False,0,0.9531,0.5,0,0,False,True,37904,37897
discourse-on-inequality,Discourse on the Origin of Inequality,Jean-Jacques Rousseau,public,original-en,True,4,4,False,0,0.7982,0.0,0,0,False,True,31639,30692
jekyll-and-hyde,Strange Case of Dr Jekyll and Mr Hyde,Robert Louis Stevenson,public,original-en,True,10,10,False,0,0.9194,12.9,0,0,False,True,25531,25372
walden,Walden,Henry David Thoreau,public,original-en,True,18,18,False,0,0.9698,16.8,0,0,False,True,106344,106370
vindication-rights-of-woman,A Vindication of the Rights of Woman,Mary Wollstonecraft,public,original-en,True,15,15,False,0,0.9316,33.4,0,0,False,True,84393,83951
comedy-of-errors,The Comedy of Errors,William Shakespeare,public,original-en,True,11,11,False,0,0.5926,0.7,0,0,False,True,15997,16186
merchant-of-venice,The Merchant of Venice,William Shakespeare,public,original-en,True,20,20,False,0,0.6782,1.3,0,0,False,True,21975,21608
henry-v,Henry V,William Shakespeare,public,original-en,True,23,23,False,0,0.6929,1.8,0,0,False,True,26750,27135
as-you-like-it,As You Like It,William Shakespeare,public,original-en,True,17,17,False,0,0.7557,4.2,0,0,False,True,21470,21482
winters-tale,The Winter's Tale,William Shakespeare,public,original-en,True,15,15,False,0,0.6339,0.2,0,0,False,True,25744,26229
julius-caesar,Julius Caesar,William Shakespeare,public,original-en,True,18,18,False,0,0.6146,0.3,0,0,False,True,20592,20831
twelfth-night,Twelfth Night,William Shakespeare,public,original-en,True,18,18,False,0,0.6886,0.8,0,0,False,True,21028,21490
measure-for-measure,Measure for Measure,William Shakespeare,public,original-en,True,17,17,False,0,0.7236,0.0,0,0,False,True,23200,23245
henry-iv-part-2,"Henry IV, Part 2",William Shakespeare,public,original-en,True,19,19,False,0,0.7724,2.0,0,0,False,True,26974,27330
merry-wives-of-windsor,The Merry Wives of Windsor,William Shakespeare,public,original-en,True,23,23,False,0,0.7495,0.0,0,0,False,True,23458,23555
othello,Othello,William Shakespeare,public,original-en,True,15,15,False,0,0.6716,0.4,0,0,False,True,27549,28200
king-lear,King Lear,William Shakespeare,public,original-en,True,26,26,False,0,0.6787,0.6,0,0,False,True,27157,27973
much-ado-about-nothing,Much Ado About Nothing,William Shakespeare,public,original-en,True,17,17,False,0,0.6995,2.1,0,0,False,True,22347,21977
taming-of-the-shrew,The Taming of the Shrew,William Shakespeare,public,original-en,True,12,12,False,0,0.6036,0.0,0,0,False,True,19554,20283
antony-and-cleopatra,Antony and Cleopatra,William Shakespeare,public,original-en,True,42,42,False,0,0.6462,0.2,0,0,False,True,25987,26847
richard-iii,Richard III,William Shakespeare,public,original-en,True,25,25,False,0,0.7172,0.7,0,0,False,True,30808,31425
coriolanus,Coriolanus,William Shakespeare,public,original-en,True,29,29,False,0,0.6788,0.4,0,0,False,True,28925,29795
cymbeline,Cymbeline,William Shakespeare,public,original-en,True,29,29,False,0,0.645,0.2,0,0,False,True,28441,29610
anna-karenina,Anna Karenina,Leo Tolstoy,public,original-en,True,239,239,False,0,0.7095,0.4,0,0,False,True,349256,347559
don-quixote,Don Quixote,Miguel de Cervantes,public,original-en,True,126,126,False,0,0.7083,0.2,0,0,False,True,402675,395083
essays-montaigne,Essays,Michel de Montaigne,public,original-en,True,107,107,False,0,0.6961,1.1,3,0,False,True,477531,467978
ivan-ilyich,The Death of Ivan Ilyich,Leo Tolstoy,public,original-en,True,12,12,False,0,0.639,0.0,0,0,False,True,22285,22810
treasure-island,Treasure Island,Robert Louis Stevenson,staged,original-en,True,34,34,False,0,0.7092,0.1,0,0,False,True,67655,66573
